MCF-7	ENCFF363WNM_pooled.nodup.bam	ENCFF548MXM.nodup.bam
osteoblast	ENCFF525DSP.nodup.bam	ENCFF449YBK_pooled.nodup.bam
pancreas	ENCFF309OGZ.nodup.bam	ENCFF040FUP.nodup.bam
endothelial_cell_of_umbilical_vein	ENCFF442LTW_pooled.nodup.bam	ENCFF958LRM.nodup.bam
CD14-positive_monocyte	ENCFF164CKD_pooled.nodup.bam	ENCFF045GRC.nodup.bam
naive_thymus-derived_CD4-positive_alpha-beta_T_cell	ENCFF499ENJ.nodup.bam	ENCFF732JAK.nodup.bam
HepG2	ENCFF563QJH.nodup.bam	ENCFF928HIT_pooled.nodup.bam
small_intestine	ENCFF880DMT.nodup.bam	ENCFF028ZDP.nodup.bam
adrenal_gland	ENCFF241DIK.nodup.bam	ENCFF727XGJ_pooled.nodup.bam
HeLa-S3	ENCFF915NVE_pooled.nodup.bam	ENCFF828IDF.nodup.bam
psoas_muscle	ENCFF618ECA_pooled.nodup.bam	ENCFF177XXX.nodup.bam
H9	ENCFF719SKA.nodup.bam	ENCFF267QYQ_pooled.nodup.bam
K562	ENCFF451JVY.nodup.bam	ENCFF992MUX_pooled.nodup.bam
H1	ENCFF274IMF.nodup.bam	ENCFF144OAE_pooled.nodup.bam
tibial_nerve	ENCFF112BQF.nodup.bam	ENCFF147LJT.nodup.bam
Peyer's_patch	ENCFF544LTF.nodup.bam	ENCFF015SAP.nodup.bam
keratinocyte	ENCFF059RAC_pooled.nodup.bam	ENCFF582URB.nodup.bam
GM12878	ENCFF903PJT_pooled.nodup.bam	ENCFF385RWJ.nodup.bam
tibial_artery	ENCFF500UBP.nodup.bam	ENCFF114QOS_pooled.nodup.bam
right_atrium_auricular_region	ENCFF939WIN.nodup.bam	ENCFF018NNU_pooled.nodup.bam
hepatocyte	ENCFF338XIK_pooled.nodup.bam	ENCFF494JNN.nodup.bam
esophagus_squamous_epithelium	ENCFF183WXG.nodup.bam	ENCFF243KXH.nodup.bam
stomach	ENCFF532BMQ_pooled.nodup.bam	ENCFF839HBL.nodup.bam
heart_left_ventricle	ENCFF825TUU_pooled.nodup.bam	ENCFF598WLQ.nodup.bam
sigmoid_colon	ENCFF983AAB.nodup.bam	ENCFF513EGS.nodup.bam
CD8-positive_alpha-beta_T_cell	ENCFF597DAD.nodup.bam	ENCFF201JLG.nodup.bam
coronary_artery	ENCFF016IVM.nodup.bam	ENCFF446BVF.nodup.bam
RWPE1	ENCFF295RHS.nodup.bam	ENCFF623XOH_pooled.nodup.bam
upper_lobe_of_left_lung	ENCFF619WFG.nodup.bam	ENCFF090FAQ.nodup.bam
transverse_colon	ENCFF598AKN.nodup.bam	ENCFF062TCZ_pooled.nodup.bam
lung	ENCFF426HBP_pooled.nodup.bam	ENCFF966VFW.nodup.bam
foreskin_keratinocyte	ENCFF131OTQ.nodup.bam	ENCFF931ISK_pooled.nodup.bam
CD4-positive_alpha-beta_T_cell	ENCFF045DUV.nodup.bam	ENCFF711PGX.nodup.bam
natural_killer_cell	ENCFF956HAU.nodup.bam	ENCFF109OGO.nodup.bam
placenta	ENCFF041YXO_pooled.nodup.bam	ENCFF863QXI.nodup.bam
IMR-90	ENCFF101YPZ.nodup.bam	ENCFF714GAO_pooled.nodup.bam
thymus	ENCFF465TOC.nodup.bam	ENCFF573NWZ.nodup.bam
vagina	ENCFF446TOY.nodup.bam	ENCFF184VUP_pooled.nodup.bam
GM23248	ENCFF068QFD_pooled.nodup.bam	ENCFF513ZFJ.nodup.bam
common_myeloid_progenitor_CD34-positive	ENCFF240PVX_pooled.nodup.bam	ENCFF212VHM.nodup.bam
GM23338	ENCFF640ZAZ_pooled.nodup.bam	ENCFF321FQC.nodup.bam
myotube	ENCFF718SNV_pooled.nodup.bam	ENCFF776DRD.nodup.bam
fibroblast_of_lung	ENCFF493ENJ_pooled.nodup.bam	ENCFF716MSE.nodup.bam
AG04450	ENCFF288CUH_pooled.nodup.bam	ENCFF214BDM.nodup.bam
mammary_epithelial_cell	ENCFF171WKG_pooled.nodup.bam	ENCFF722LQX.nodup.bam
mesenchymal_stem_cell	ENCFF349TTK.nodup.bam	ENCFF256KPQ_pooled.nodup.bam
bipolar_neuron	ENCFF628VHI_pooled.nodup.bam	ENCFF535NQP.nodup.bam
astrocyte	ENCFF252GUK_pooled.nodup.bam	ENCFF852LKJ.nodup.bam
testis	ENCFF644KGK.nodup.bam	ENCFF858PZR.nodup.bam
neural_progenitor_cell	ENCFF983LXZ_pooled.nodup.bam	ENCFF520KTX.nodup.bam
spleen	ENCFF055UYI.nodup.bam	ENCFF109OQV_pooled.nodup.bam
Panc1	ENCFF241WRU_pooled.nodup.bam	ENCFF136XNV.nodup.bam
PC-9	ENCFF035WVO_pooled.nodup.bam	ENCFF766DOH.nodup.bam
neural_stem_progenitor_cell	ENCFF541CGC.nodup.bam	ENCFF508CXY_pooled.nodup.bam
Karpas-422	ENCFF889ZST_pooled.nodup.bam	ENCFF234AOF.nodup.bam
iPS_DF_19.11	ENCFF793HZT.nodup.bam	ENCFF493NLJ_pooled.nodup.bam
B_cell	ENCFF181ANM_pooled.nodup.bam	ENCFF297FHV.nodup.bam
heart_right_ventricle	ENCFF837KUH_pooled.nodup.bam	ENCFF251DKD.nodup.bam
cardiac_muscle_cell	ENCFF055XGK_pooled.nodup.bam	ENCFF666DHM.nodup.bam
trophoblast_cell	ENCFF829GME_pooled.nodup.bam	ENCFF433JWY.nodup.bam
HCT116	ENCFF936ECB_pooled.nodup.bam	ENCFF803XHI.nodup.bam
fibroblast_of_dermis	ENCFF119FKG_pooled.nodup.bam	ENCFF955HWB.nodup.bam
ovary	ENCFF206UZB.nodup.bam	ENCFF300FGA.nodup.bam
epithelial_cell_of_prostate	ENCFF291WWF_pooled.nodup.bam	ENCFF409DBJ.nodup.bam
mesendoderm	ENCFF940VYO.nodup.bam	ENCFF891DYF_pooled.nodup.bam
skeletal_muscle_myoblast	ENCFF826DHO_pooled.nodup.bam	ENCFF986PYB.nodup.bam
SK-N-MC	ENCFF808UBJ_pooled.nodup.bam	ENCFF685RRO.nodup.bam
endodermal_cell	ENCFF106NQV_pooled.nodup.bam	ENCFF861XCF.nodup.bam
OCI-LY7	ENCFF037NAS_pooled.nodup.bam	ENCFF504PVS.nodup.bam
spinal_cord	ENCFF211DDO.nodup.bam	ENCFF701FTO.nodup.bam
large_intestine	ENCFF052NOM.nodup.bam	ENCFF744EGF.nodup.bam
T-cell	ENCFF705TQN.nodup.bam	ENCFF984WED.nodup.bam
